Time,Trial Number,Score,Time Fruit Spent Falling,Caught fruit?,COP X,COP Y,Spawn Location Difficulty,User Size Difficulty,Fall Speed Difficulty,User Sensitivity Difficulty,Fruit Size Difficulty,Spawn Frequency Difficulty,Exploration Mode
103.1474,32,250,2.252907,NO,7.136744,-7.022143,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
105.1,33,260,1.176334,YES,5.930765,-4.755152,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,FORCED
107.72,34,270,0.7953482,YES,4.910364,-0.7693279,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
111.9271,35,270,2.252291,NO,0.2959662,-4.684152,VERY HARD,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
114.5292,36,270,1.839275,NO,2.480551,1.748618,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
117.5432,37,270,1.838712,NO,11.20396,-6.111297,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
120.12,38,280,1.391262,YES,13.16965,-8.987292,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
122.3,39,290,0.8117674,YES,-4.286586,-2.491468,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
125.72,40,300,1.474447,YES,12.92237,-9.489266,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
128.58,41,310,1.32594,YES,-7.208252,-7.776618,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
131.06,42,320,1.026849,YES,-10.63934,-7.707856,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,FORCED
