Time,COP X,COP Y
16.63567,3.890367,-6.572673
16.65223,3.780691,-6.547554
16.6688,3.619284,-6.532134
16.68537,3.619284,-6.532134
16.70222,3.539055,-6.557189
16.7192,3.539055,-6.557189
16.73517,3.375121,-6.563727
16.75189,3.175523,-6.541732
16.7682,3.175523,-6.541732
16.78482,3.054044,-6.537999
16.80133,2.99838,-6.510648
16.8179,2.99838,-6.510648
16.83466,2.688124,-6.470068
16.85103,2.688124,-6.470068
16.86761,2.575294,-6.457065
16.88417,2.46938,-6.421421
16.90073,2.384909,-6.393087
16.91751,2.384909,-6.393087
16.93386,1.927956,-6.170503
16.95043,1.927956,-6.170503
16.96739,1.690238,-5.845666
16.98429,1.690238,-5.845666
17.00043,1.506553,-5.547622
17.01721,1.506553,-5.547622
17.03327,1.423587,-5.475275
17.05012,1.370033,-5.458913
17.0671,1.323714,-5.455413
17.08303,1.208225,-5.472641
17.09999,1.208225,-5.472641
17.1161,1.140827,-5.476451
17.1329,1.076702,-5.476353
17.14987,1.011881,-5.470461
17.16592,0.931012,-5.492808
17.1829,0.8650235,-5.485774
17.19893,0.8650235,-5.485774
17.21564,0.7750787,-5.50019
17.23207,0.7874757,-5.493867
17.24863,0.7772205,-5.514611
17.2652,0.7451004,-5.479439
17.28176,0.7079633,-5.485134
17.29863,0.7079633,-5.485134
17.31566,0.7176692,-5.518249
17.33159,0.6977744,-5.515127
17.34841,0.6748738,-5.518315
17.36553,0.6233666,-5.535371
17.38129,0.6424342,-5.549038
17.39773,0.6424342,-5.549038
17.4143,0.5433764,-5.555928
17.4313,0.4884529,-5.560641
17.44806,0.5027417,-5.555063
17.464,0.4512071,-5.542526
17.48087,0.4496364,-5.528488
17.49776,0.4496364,-5.528488
17.51377,0.4091018,-5.503977
17.53071,0.4091018,-5.503977
17.54683,0.4116546,-5.503386
17.56363,0.4540714,-5.507474
17.58059,0.4540714,-5.507474
17.59659,0.4540714,-5.507474
17.61353,0.5154005,-5.509728
17.62967,0.5265642,-5.506603
17.64641,0.5580966,-5.520381
17.66364,0.5580966,-5.520381
17.67937,0.5580966,-5.520381
17.69593,0.6263342,-5.584553
17.71278,0.6263342,-5.584553
17.72982,0.7227166,-5.577281
17.7457,0.7227166,-5.577281
17.76268,0.8717715,-5.604287
17.77957,0.8717715,-5.604287
17.7956,1.051543,-5.606429
17.81248,1.446326,-5.645539
17.82848,1.772038,-5.654236
17.84546,1.981444,-5.658963
17.8616,2.255009,-5.674826
17.87835,2.255009,-5.674826
17.89473,2.805217,-5.587031
17.9123,3.097305,-5.486556
17.9282,3.346105,-5.368276
17.94443,3.609061,-5.261827
17.96113,3.879642,-5.122197
17.97805,3.879642,-5.122197
17.99413,4.228862,-4.812827
18.01099,4.365741,-4.710241
18.02797,4.416396,-4.65852
18.0439,4.416396,-4.65852
18.06083,4.399094,-4.574739
18.07697,4.399094,-4.574739
18.09378,4.242383,-4.530236
18.11072,4.149914,-4.53346
18.12669,4.024146,-4.553233
18.14366,3.824012,-4.574291
18.16059,3.58096,-4.605943
18.17652,3.58096,-4.605943
18.19293,3.014675,-4.707493
18.2095,2.688723,-4.78365
18.22606,2.33051,-4.90134
18.24263,1.965712,-5.036778
18.25956,1.965712,-5.036778
18.27577,0.9253131,-5.343922
18.29245,0.3456515,-5.499845
18.3092,-0.220082,-5.696883
18.32547,-0.897594,-5.846557
18.3421,-1.579792,-6.018465
18.3586,-1.579792,-6.018465
18.37608,-2.967735,-6.291979
18.39209,-3.537305,-6.407176
18.40903,-4.601494,-6.635791
18.4249,-4.601494,-6.635791
18.44186,-5.001792,-6.738846
18.458,-5.001792,-6.738846
18.47493,-5.64903,-6.906692
18.49169,-6.259012,-7.061639
18.50771,-6.259012,-7.061639
18.5246,-6.548322,-7.119588
18.54083,-6.831086,-7.193664
18.55748,-6.831086,-7.193664
18.57399,-7.496946,-7.301995
18.59063,-7.496946,-7.301995
18.6076,-7.705723,-7.368842
18.62367,-8.06109,-7.499909
18.64053,-8.06109,-7.499909
18.65747,-8.06109,-7.499909
18.67346,-8.306154,-7.64336
18.69044,-8.306154,-7.64336
18.7065,-8.37958,-7.679776
18.72319,-8.411772,-7.715983
18.74003,-8.397117,-7.766766
18.7571,-8.397117,-7.766766
18.77296,-8.399276,-7.789849
18.78933,-8.387566,-7.81906
18.80598,-8.387566,-7.81906
18.82294,-8.305578,-7.899522
18.83976,-8.305578,-7.899522
18.8556,-8.154042,-7.893781
18.87217,-7.990689,-7.916508
18.88873,-7.792311,-7.901732
18.9056,-7.524868,-7.907794
18.92187,-7.22163,-7.86536
18.93846,-7.22163,-7.86536
18.95568,-6.438855,-7.848546
18.97157,-6.035311,-7.841572
18.98831,-5.617035,-7.812567
19.00526,-5.617035,-7.812567
19.02127,-4.704558,-7.787288
19.03783,-4.704558,-7.787288
19.0544,-3.776492,-7.726821
19.0711,-3.353682,-7.722931
19.08753,-2.922575,-7.710107
19.1041,-2.524039,-7.666773
19.12066,-2.195222,-7.61693
19.13737,-2.195222,-7.61693
19.15414,-1.730172,-7.518888
19.17037,-1.565787,-7.489213
19.18723,-1.352508,-7.485137
19.2035,-1.167925,-7.486707
19.22007,-0.966942,-7.426185
19.23663,-0.966942,-7.426185
19.25321,-0.3078009,-7.409387
19.2699,-0.3078009,-7.409387
19.28675,-0.01747314,-7.407262
19.3037,0.3220969,-7.408918
19.31968,0.3220969,-7.408918
19.33603,1.161581,-7.388842
19.3526,1.69187,-7.373639
19.36917,2.433964,-7.359544
19.38573,3.37465,-7.326523
19.40245,4.490093,-7.273497
19.4194,4.490093,-7.273497
19.43543,6.882568,-7.13418
19.4523,8.321783,-7.0696
19.46856,9.870629,-7.027471
19.48523,11.38737,-7.038054
19.50217,14.03138,-7.128798
19.51912,14.03138,-7.128798
19.53483,15.02659,-7.217651
19.5514,15.94768,-7.256417
19.568,15.94768,-7.256417
19.58509,16.54886,-7.33232
19.6011,16.6237,-7.356668
19.61787,16.6237,-7.356668
19.63423,16.60196,-7.283557
19.65083,16.60196,-7.283557
19.66737,16.23791,-7.099997
19.68393,16.0042,-7.022398
19.7007,15.64448,-6.962843
19.71761,15.64448,-6.962843
19.73451,14.59871,-6.685483
19.7502,13.70189,-6.435123
19.76677,12.58368,-6.120786
19.78361,12.58368,-6.120786
19.80063,10.39006,-5.633133
19.81654,10.39006,-5.633133
19.83343,8.202456,-5.017897
19.85035,7.252963,-4.749492
19.8662,6.423032,-4.494331
19.88288,5.627273,-4.272993
19.89994,5.627273,-4.272993
19.91587,4.094073,-3.951334
19.93275,3.361227,-3.804661
19.9497,2.684859,-3.66058
19.96563,1.966741,-3.486158
19.98215,1.250462,-3.331148
19.9987,1.250462,-3.331148
20.01548,-0.2215971,-3.043893
20.03251,-0.8666336,-2.972872
20.04864,-1.693577,-2.864112
20.06497,-2.657986,-2.810962
20.08153,-3.610513,-2.829438
20.09838,-3.610513,-2.829438
20.11527,-5.902212,-3.187614
20.13124,-7.390038,-3.455041
20.1478,-8.847309,-3.677007
20.16437,-10.14353,-3.895349
20.18118,-11.13475,-4.042892
20.19811,-11.13475,-4.042892
20.21408,-12.19778,-4.029956
20.23095,-12.35743,-3.952508
20.2472,-12.41253,-3.894302
20.264,-12.43605,-3.663307
20.28089,-12.43605,-3.663307
20.29777,-12.43605,-3.663307
20.31371,-12.21514,-3.44777
20.33003,-11.8431,-3.269073
20.34664,-10.34455,-2.730997
20.36318,-10.34455,-2.730997
20.37973,-10.34455,-2.730997
20.3963,-8.188149,-2.532893
20.41324,-8.188149,-2.532893
20.4302,-7.239572,-2.602271
20.4461,-7.239572,-2.602271
20.46257,-6.761351,-2.592474
20.47913,-6.761351,-2.592474
20.4957,-6.613477,-2.607739
20.51245,-6.167436,-2.664622
20.52884,-5.890922,-2.646154
20.54541,-5.544323,-2.694249
20.56238,-5.094993,-2.706936
20.57853,-5.094993,-2.706936
20.59543,-3.876417,-2.784886
20.61167,-3.27925,-2.867331
20.62843,-2.68955,-2.986542
20.6448,-2.186372,-3.09739
20.66143,-1.653428,-3.27792
20.67818,-1.653428,-3.27792
20.69508,-0.6929365,-3.813192
20.71126,-0.2174588,-4.149685
20.72763,0.2692619,-4.504479
20.7442,0.6562294,-4.910692
20.76097,1.060949,-5.280729
20.77733,1.060949,-5.280729
20.79395,1.645915,-5.913625
20.81084,1.881922,-6.180797
20.82703,1.992189,-6.478914
20.84375,2.076524,-6.745949
20.8607,2.117302,-6.975822
20.87673,2.117302,-6.975822
20.8936,2.253603,-7.649645
20.90987,2.253603,-7.649645
20.9265,2.271008,-7.866191
20.94347,2.296159,-8.096272
20.96043,2.297664,-8.330597
20.97635,2.297664,-8.330597
20.99332,2.504482,-8.654115
21.00928,2.593764,-8.778605
21.02583,2.790975,-8.873347
21.0424,2.790975,-8.873347
21.05897,2.790975,-8.873347
21.07553,2.962913,-8.869871
21.09229,3.014043,-8.934028
21.10925,3.135705,-8.95459
21.12523,3.135705,-8.95459
21.14213,3.15851,-9.038851
21.15837,3.15851,-9.038851
21.17505,3.189393,-9.081709
21.1919,3.216587,-9.173345
21.20807,3.216587,-9.173345
21.22472,3.184427,-9.287872
21.24166,3.167933,-9.311502
21.25776,3.167933,-9.311502
21.27458,3.086377,-9.395266
21.29152,3.086377,-9.395266
21.30751,3.054172,-9.456513
21.32443,3.063875,-9.485746
21.3406,3.063875,-9.485746
21.35716,3.063875,-9.485746
21.37373,3.0023,-9.61191
21.3905,3.017669,-9.651921
21.40687,2.996601,-9.655782
21.42418,2.998883,-9.703964
21.44014,2.947812,-9.734529
21.45719,2.947812,-9.734529
21.47313,2.760513,-9.801747
21.48998,2.619657,-9.826186
21.50694,2.437431,-9.845382
21.52292,2.237776,-9.828043
21.53988,2.237776,-9.828043
21.55597,1.827949,-9.84899
21.57288,1.683303,-9.861219
21.58984,1.555673,-9.84796
21.60567,1.466319,-9.869578
21.62258,1.383467,-9.869883
21.6396,1.383467,-9.869883
21.65536,1.396664,-9.864703
21.67193,1.439461,-9.839996
21.68864,1.498884,-9.798491
21.7054,1.566268,-9.806049
21.72163,1.685724,-9.743619
21.73844,1.685724,-9.743619
21.75544,1.869195,-9.657613
21.77133,1.943216,-9.603491
21.78843,2.027,-9.602389
21.80533,2.07636,-9.525177
21.82125,2.193488,-9.482588
21.83823,2.193488,-9.482588
21.85417,2.288071,-9.49664
21.87094,2.378791,-9.487972
21.8873,2.389261,-9.469257
21.90393,2.528855,-9.446483
21.92082,2.528855,-9.446483
21.93793,2.528855,-9.446483
21.95376,2.618301,-9.390236
21.97065,2.636704,-9.381955
21.9867,2.647326,-9.327903
22.00354,2.647326,-9.327903
22.01983,2.647326,-9.327903
22.03648,2.626487,-9.265971
22.05343,2.537691,-9.216402
22.07042,2.495283,-9.18282
22.08646,2.495283,-9.18282
22.10344,2.432467,-9.152896
22.11958,2.432467,-9.152896
22.1363,2.316581,-9.109677
22.15237,2.196424,-9.035673
22.16934,2.140178,-8.95892
22.1863,2.103782,-8.918675
22.20214,2.103782,-8.918675
22.21931,2.103782,-8.918675
22.23526,2.012695,-8.783322
22.25212,1.992181,-8.686404
22.26835,1.992181,-8.686404
22.28505,1.956343,-8.505569
22.30188,1.964349,-8.444612
22.31803,1.964349,-8.444612
22.3349,1.976784,-8.266747
22.35173,1.965757,-8.139169
22.36774,1.993956,-8.016179
22.3843,1.961034,-7.823557
22.40087,1.961612,-7.6903
22.41759,1.961612,-7.6903
22.434,1.92845,-7.328439
22.45163,1.934317,-7.119218
22.4674,1.94261,-6.833573
22.48442,1.983504,-6.518258
22.50027,2.018896,-6.195519
22.51734,2.018896,-6.195519
22.53351,2.107907,-5.378863
22.55026,2.166353,-4.944766
22.56653,2.163584,-4.474395
22.58329,2.220726,-4.051347
22.59966,2.220726,-4.051347
22.61627,2.298882,-3.305289
22.63322,2.30407,-2.943642
22.64937,2.368616,-2.617929
22.66593,2.378444,-2.023767
22.68296,2.378444,-2.023767
22.69907,2.378444,-2.023767
22.71579,2.492414,-1.503577
22.7322,2.492414,-1.503577
22.74877,2.459352,-1.371699
22.76578,2.453273,-1.282464
22.78263,2.460625,-1.154873
22.79847,2.460625,-1.154873
22.81503,2.388128,-0.9835204
22.8316,2.334054,-0.8949937
22.84862,2.334054,-0.8949937
22.86541,2.292117,-0.8913354
22.88156,2.261734,-0.887931
22.89787,2.261734,-0.887931
22.91443,2.115948,-0.816178
22.9312,2.073658,-0.7321095
22.94816,2.059516,-0.6358503
22.96415,2.031348,-0.5768934
22.98106,2.014992,-0.5005853
22.99802,2.014992,-0.5005853
23.01398,1.902585,-0.4026401
23.0304,1.861003,-0.3884462
23.04784,1.795627,-0.3722891
23.0638,1.774449,-0.3333937
23.08082,1.696618,-0.3220717
23.09676,1.696618,-0.3220717
23.11332,1.696434,-0.3118668
23.13042,1.526761,-0.30532
23.14637,1.492132,-0.3133962
23.16341,1.436158,-0.3220175
23.18016,1.436158,-0.3220175
23.19609,1.436158,-0.3220175
23.21263,1.36715,-0.3120497
23.2292,1.306673,-0.3170725
23.24595,1.324631,-0.3110428
23.2629,1.268412,-0.3267293
23.2789,1.268412,-0.3267293
23.29584,1.220689,-0.3275768
23.31262,1.229466,-0.3693023
23.32861,1.210546,-0.4255482
23.34552,1.205643,-0.4660775
23.36242,1.197877,-0.5262364
23.37842,1.197877,-0.5262364
23.39487,1.168172,-0.6361792
23.41143,1.114406,-0.7169212
23.42829,1.102983,-0.8118938
23.44525,1.088764,-0.9052957
23.4612,0.9857274,-1.023935
23.4777,0.9857274,-1.023935
23.49427,0.8002739,-1.325632
23.51083,0.6489156,-1.500193
23.52757,0.4760591,-1.975192
23.54443,0.4760591,-1.975192
23.5614,0.4947551,-2.200098
23.57733,0.4947551,-2.200098
23.59425,0.5717854,-2.495107
23.61023,0.6458008,-2.589629
23.6268,0.6055229,-2.688687
23.64337,0.6588809,-2.767088
23.66022,0.7655891,-3.021269
23.67703,0.7655891,-3.021269
23.69314,0.7947698,-3.140688
23.71,0.8372007,-3.272053
23.7262,0.7702946,-3.486232
23.74291,0.7702946,-3.486232
23.75992,0.7702946,-3.486232
23.77591,0.6292611,-3.942034
23.79247,0.6292611,-3.942034
23.80903,0.5992406,-4.197108
23.82566,0.4543368,-4.483681
23.84268,0.4543368,-4.483681
23.85873,0.4543368,-4.483681
23.87549,0.5016244,-4.910636
23.89187,0.8316287,-5.292129
23.90848,1.185456,-5.359733
23.925,1.185456,-5.359733
23.94157,1.974807,-5.579779
23.95828,1.974807,-5.579779
23.97527,2.846007,-5.639266
23.99127,3.189507,-5.628991
24.00815,3.189507,-5.628991
24.0251,3.590921,-5.643571
24.04097,3.642351,-5.61926
24.05753,3.642351,-5.61926
24.0741,3.581606,-5.667363
24.09095,3.464704,-5.697916
24.10723,3.244517,-5.746895
24.12385,3.044289,-5.793861
24.1409,2.705158,-5.841837
24.15779,2.705158,-5.841837
24.17376,1.749303,-5.94581
24.19069,1.210477,-6.009354
24.20666,0.5290333,-6.100826
24.22359,-0.2970279,-6.192681
24.24061,-1.135004,-6.317526
24.25656,-1.135004,-6.317526
24.27363,-2.86587,-6.507109
24.28962,-3.777171,-6.609751
24.30603,-4.636497,-6.711128
24.3226,-5.479156,-6.796059
24.33951,-5.479156,-6.796059
24.35573,-7.101762,-6.952024
24.3723,-7.802165,-6.961827
24.38919,-8.382118,-7.007317
24.40638,-8.866529,-7.051161
24.4221,-9.310386,-7.106245
24.43857,-9.310386,-7.106245
24.45513,-10.14569,-7.184566
24.47192,-10.14569,-7.184566
24.4889,-10.24487,-7.17749
24.50497,-10.36311,-7.179892
24.52183,-10.36311,-7.179892
24.53797,-10.36311,-7.179892
24.55472,-10.27124,-7.188151
24.5711,-10.07709,-7.18453
24.58767,-10.00976,-7.191276
24.6046,-9.753878,-7.128787
24.62155,-9.243919,-7.107312
24.63737,-9.243919,-7.107312
24.65393,-8.668388,-7.097372
24.67064,-8.201282,-6.997669
24.6876,-8.201282,-6.997669
24.70453,-7.150309,-6.856363
24.72051,-6.425713,-6.799333
24.73745,-6.425713,-6.799333
24.75423,-4.988174,-6.577536
24.77017,-4.988174,-6.577536
24.78731,-3.693733,-6.40787
24.80306,-3.21371,-6.404817
24.8196,-3.21371,-6.404817
24.83617,-2.337062,-6.277165
24.85308,-2.042177,-6.247207
24.86984,-1.792122,-6.194272
24.88681,-1.588267,-6.119713
24.90277,-1.46996,-6.043301
24.91925,-1.46996,-6.043301
24.93557,-1.276187,-5.894914
24.95218,-1.271658,-5.821057
24.96914,-1.244597,-5.748999
24.98606,-1.211252,-5.684568
25.00212,-1.20744,-5.571475
25.0184,-1.20744,-5.571475
25.03507,-1.218132,-5.484857
25.05192,-1.199401,-5.422715
25.06896,-1.22676,-5.396932
25.08492,-1.222239,-5.350842
25.10184,-1.212281,-5.253191
25.11867,-1.212281,-5.253191
25.1347,-1.200636,-5.027805
25.15167,-1.215546,-4.9463
25.16764,-1.097583,-4.843356
25.18458,-1.03094,-4.7433
25.20152,-0.9113064,-4.605697
25.2172,-0.9113064,-4.605697
25.23377,-0.7962647,-4.289988
25.25033,-0.7116794,-4.125523
25.2669,-0.6599474,-3.942456
25.28347,-0.5950931,-3.781508
25.30026,-0.4822729,-3.605147
25.31744,-0.4822729,-3.605147
25.33341,-0.2603936,-3.407318
25.34973,-0.02295534,-3.257648
25.3663,-0.02295534,-3.257648
25.38303,0.05556965,-3.153366
25.40007,0.2895188,-3.088433
25.41692,0.2895188,-3.088433
25.43288,0.5557395,-3.044115
25.44983,0.6934022,-2.995019
25.46584,0.6934022,-2.995019
25.48274,1.005476,-2.960325
25.49966,1.005476,-2.960325
25.51561,1.229831,-2.923888
25.53197,1.229831,-2.923888
25.54859,1.373821,-2.895988
25.56551,1.681357,-2.884876
25.58247,1.681357,-2.884876
25.59823,1.681357,-2.884876
25.6148,2.200157,-2.86311
25.63155,2.755064,-2.833577
25.64831,3.082151,-2.810048
25.6645,3.401003,-2.774781
25.68116,3.754232,-2.768868
25.69835,3.754232,-2.768868
25.7142,4.169142,-2.718349
25.73103,4.399415,-2.698842
25.74831,4.524277,-2.671006
25.76394,4.622223,-2.665816
25.78047,4.694991,-2.653106
25.79703,4.694991,-2.653106
25.81386,4.792386,-2.662934
25.83082,4.773156,-2.689267
25.84674,4.800952,-2.682682
25.86375,4.771991,-2.697839
25.88073,4.751407,-2.717511
25.89665,4.751407,-2.717511
